"id","X","latitude","longitude","freq","freq_rel","levels","log_rel","colores"
"49",49,-40.5184285714286,-72.112,21,0.0526315789473684,1,0.44402587251389,3
"50",50,-40.2543076923077,-72.2306923076923,13,0.0325814536340852,1,0.353472043159304,2
"51",51,-40.3247522123894,-73.0320442477876,113,0.283208020050125,2,0.761787462579773,4
"52",52,-38.9984333333333,-73.0521166666667,60,0.150375939849624,1,0.642255125629199,4
"53",53,-39.1115913978495,-72.6377580645161,186,0.466165413533835,3,0.855888454838244,5
"54",54,-39.678125,-72.800975,40,0.100250626566416,1,0.565694493433548,3
"55",55,-40.4576388888889,-73.1560462962963,108,0.270676691729323,2,0.753242033654523,4
"56",56,-40.5276153846154,-72.1695128205128,39,0.0977443609022556,1,0.560913940566424,3
"57",57,-40.2344269662921,-73.0338426966292,89,0.223057644110276,2,0.716705995627318,4
"58",58,-39.03747,-72.5479,100,0.25062656641604,2,0.738710115010995,4
"59",59,-40.4625238095238,-73.2883809523809,63,0.157894736842105,1,0.65146776992101,4
"60",60,-38.999125,-73.2407954545455,88,0.220551378446115,2,0.714572393804445,4
"61",61,-39.0627373737374,-72.1920707070707,99,0.24812030075188,2,0.736812392984276,4
"62",62,-40.5290298507463,-72.1496567164179,67,0.167919799498747,1,0.663091239142957,4
"63",63,-39.1008548387097,-73.2170967741935,62,0.155388471177945,1,0.648446557431123,4
"64",64,-39.1367228915663,-72.3971325301205,83,0.208020050125313,2,0.703527037557918,4
"65",65,-39.2346285714286,-73.1113285714286,70,0.175438596491228,1,0.671362127107155,4
"66",66,-40.5403265306122,-73.2483265306123,98,0.245614035087719,2,0.734895404414786,4
"67",67,-39.003484375,-72.132234375,64,0.160401002506266,1,0.654441402279042,4
"68",68,-40.4567727272727,-73.50775,44,0.110275689223058,1,0.583691128592975,3
"69",69,-39.1320235294118,-72.3191647058823,85,0.213032581453634,2,0.708023005966853,4
"70",70,-39.0918539325843,-72.1329325842697,89,0.223057644110276,2,0.716705995627318,4
"71",71,-39.6483466666666,-72.9961733333333,75,0.18796992481203,1,0.684389481995175,4
"72",72,-39.8380657894737,-73.2155921052632,76,0.19047619047619,1,0.686890468919273,4
"73",73,-39.6307222222222,-73.2554444444444,36,0.0902255639097744,1,0.545800136247403,3
"74",74,-39.0647953216374,-72.3563040935673,171,0.428571428571429,3,0.840011733310573,5
"75",75,-39.004975,-72.8128166666667,120,0.300751879699248,2,0.773136390840669,4
"76",76,-40.518445945946,-72.1631216216216,74,0.18546365914787,1,0.68185492377536,4
"77",77,-39.3129411764706,-71.5794117647059,17,0.0426065162907268,1,0.404126119177937,3
"78",78,-40.0661076923077,-72.7624769230769,65,0.162907268170426,1,0.65736892994822,4
"79",79,-39.2832461538462,-71.9692,65,0.162907268170426,1,0.65736892994822,4
"80",80,-39.8573333333334,-72.791282051282,39,0.0977443609022556,1,0.560913940566424,3
"81",81,-39.4331935483871,-72.3369193548387,62,0.155388471177945,1,0.648446557431123,4
"82",82,-38.9745757575757,-72.3288787878788,165,0.413533834586466,3,0.833267382366072,5
"83",83,-39.1738195488722,-72.4664210526315,133,0.333333333333333,2,0.79255810259288,4
"84",84,-39.4208,-71.9484777777778,90,0.225563909774436,2,0.718815757824849,4
"85",85,-40.3462368421053,-73.3435263157895,38,0.0952380952380952,1,0.556009203707803,3
"86",86,-39.2762040816326,-72.3691224489796,49,0.12280701754386,1,0.604014139203316,4
"87",87,-40.5480625,-73.184825,80,0.200501253132832,2,0.696575758645019,4
"88",88,-40.112652173913,-73.2260434782609,23,0.0576441102756892,1,0.461203323081436,3
"89",89,-40.5257518796992,-72.1574210526315,133,0.333333333333333,2,0.79255810259288,4
"90",90,-39.9844347826087,-72.6775072463768,69,0.172932330827068,1,0.668645220488557,4
"91",91,-39.1699807692308,-72.5894743589744,156,0.390977443609023,2,0.822676470989364,5
"92",92,-39.4173798449612,-71.9304341085272,129,0.323308270676692,2,0.78679210488516,4
"93",93,-40.47395,-72.85695,40,0.100250626566416,1,0.565694493433548,3
"94",94,-39.0614452054795,-72.4415136986301,146,0.365914786967419,2,0.810167145924938,5
"95",95,-38.988,-71.65725,8,0.0200501253132832,1,0.261797606644632,2
"96",96,-39.92325,-73.4495,4,0.0100250626566416,1,0.130916341433162,1
"97",97,-39.7546363636364,-73.0829090909091,22,0.0551378446115288,1,0.452809863381505,3
"98",98,-39.8649272727273,-72.6102181818182,55,0.137844611528822,1,0.625825484958952,4
"99",99,-40.37601,-73.13309,100,0.25062656641604,2,0.738710115010995,4
"100",100,-40.5252337662338,-72.1411688311688,77,0.192982456140351,1,0.689358762266582,4
